ZCTA5CE20,total,hispanic,white,black,asian,ai,pi,other,multi
10001,32612,7279,14845,2950,6005,66,25,217,1225
10002,82155,20147,19440,6541,33312,74,28,543,2070
10003,57076,5391,38025,2194,8141,36,32,495,2762
10004,4287,443,2409,189,932,1,4,24,285
10005,10639,935,6754,386,1950,6,12,102,494
10006,4282,430,2656,126,829,0,0,39,202
10007,8421,790,5322,447,1306,1,10,64,481
10009,61716,15098,29686,4650,9317,92,37,465,2371
10010,33991,3746,21175,1728,5313,35,117,350,1527
10011,53318,6072,37014,2151,5405,42,36,415,2183
10012,23125,2042,15892,544,3293,10,10,173,1161
10013,31042,2337,16709,1024,9138,31,12,275,1516
10014,32590,2499,25636,609,2149,16,13,265,1403
10016,62336,5786,38424,2949,12397,47,45,431,2257
10017,17401,1432,10557,544,4016,8,8,147,689
10018,11145,1983,4320,1250,3101,19,14,71,387
10019,49029,8138,25918,2862,9837,24,14,381,1855
10020,0,0,0,0,0,0,0,0,0
10021,45691,2881,35983,605,4515,21,5,275,1406
10022,36708,2614,26859,812,4977,15,26,245,1160
10023,71164,7060,48870,2757,8836,68,21,586,2966
10024,62250,7255,44650,2892,4249,36,14,505,2649
10025,95424,19652,49474,10163,10999,110,22,930,4074
10026,35644,7940,8196,15144,2140,56,11,366,1791
10027,64037,16699,15532,21536,6719,126,24,648,2753
10028,48116,3346,37595,704,4426,22,1,282,1740
10029,78141,37263,12203,18388,7376,132,19,621,2139
10030,29686,7511,3445,16423,763,77,27,265,1175
10031,56363,28639,10385,12604,2181,87,17,503,1947
10032,55170,34148,9385,7189,2569,61,17,415,1386
10033,50085,31849,12892,2393,1365,28,14,442,1102
10034,36778,24972,7384,2399,798,33,7,296,889
10035,35980,16207,4729,11596,1793,95,13,301,1246
10036,33868,6040,15362,3522,7308,57,18,264,1297
10037,19670,4761,1623,11734,614,36,4,130,768
10038,25332,3603,11616,1717,7167,19,20,176,1014
10039,29239,8166,2079,17027,739,75,15,179,959
10040,40405,27267,8965,1838,1080,36,11,341,867
10044,11722,1440,4251,1237,3897,109,97,127,564
10065,32891,2141,25043,527,3717,18,18,214,1213
10069,6671,551,3991,177,1576,9,3,43,321
10075,27796,1954,21546,454,2676,4,11,135,1016
10103,10,1,7,0,1,0,0,0,1
10110,14,4,6,2,2,0,0,0,0
10111,6,4,1,0,1,0,0,0,0
10112,5,2,1,0,0,0,0,0,2
10115,0,0,0,0,0,0,0,0,0
10119,154,52,38,44,0,6,6,1,7
10128,64249,6662,44797,2544,7305,24,12,411,2494
10152,48,2,26,1,7,2,0,1,9
10153,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0
10162,1814,135,1380,20,194,3,3,5,74
10165,20,6,5,9,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0
10170,40,17,4,12,0,0,0,0,7
10171,17,4,0,8,1,0,0,0,4
10172,0,0,0,0,0,0,0,0,0
10173,2,1,1,0,0,0,0,0,0
10174,17,5,7,3,0,0,0,0,2
10177,0,0,0,0,0,0,0,0,0
10199,71,27,7,29,0,0,0,2,6
10271,0,0,0,0,0,0,0,0,0
10278,6,1,2,0,2,0,0,0,1
10279,236,10,131,6,57,0,0,0,32
10280,8993,694,5646,150,1971,4,5,73,450
10282,5847,449,3840,107,1029,0,2,31,389
10301,41474,11743,15484,8757,3639,69,9,375,1398
10302,20931,9476,5428,3910,1415,26,1,133,542
