boro,year,total_pop,pop_under_5_yrs,pop_5_9_yrs,pop_10_14_yrs,pop_15_19_yrs,pop_20_24_yrs,pop_25_34_yrs,pop_35_44_yrs,pop_45_54_yrs,pop_55_59_yrs,pop_60_64_yrs,pop_65_74_yrs,pop_75_84_yrs,pop_above_84_yrs,pop_above_17_yrs,pop_under_18_yrs
Bronx ,2019,1418207,100047,88904,103032,93912,99499,227113,180518,173355,85498,76877,105669,59983,23800,1070144,348063
Brooklyn ,2019,2559903,182787,151579,159586,135493,152915,470688,357558,295873,140885,145161,210132,110984,46262,1979773,580130
Manhattan ,2019,1628706,76131,60265,61844,67607,111308,361731,234018,195351,94395,89453,149036,88570,38997,1396835,231871
Queens ,2019,2253858,136858,116135,127094,114117,125955,360026,306325,298548,161487,138853,207989,109129,51342,1802531,451327
S. Island ,2019,476143,25432,30005,29674,29005,28531,63991,59901,64173,35852,30278,47060,22331,9910,372457,103686
Bronx ,2018,1432132,102764,94486,100545,95617,104329,230160,181132,179609,85317,75008,101971,60006,21188,1077083,355049
Brooklyn ,2018,2582830,187096,156195,158534,136580,159102,474567,360310,303300,147328,141021,204057,108944,45796,1994007,588823
Manhattan ,2018,1628701,76770,59013,63661,68060,111359,364144,233082,199097,93224,91457,146350,82875,39609,1395722,232979
Queens ,2018,2278906,141025,114733,131467,114739,130400,366269,313311,308299,159360,141673,201575,110882,45173,1820538,458368
S. Island ,2018,476179,27413,28482,29742,29915,27976,64892,59313,65569,32166,33657,45983,22470,8601,372142,104037
Bronx ,2017,1471160,105951,99466,99944,99561,112967,237759,186598,187140,83330,76736,101848,53465,26395,1105945,365215
Brooklyn ,2017,2648771,193410,157254,164125,142570,170552,488903,367676,314923,146795,145580,201842,110108,45033,2043306,605465
Manhattan ,2017,1664727,80023,63553,61406,69415,117061,374994,238266,206436,98118,89232,146448,81027,38748,1425154,239573
Queens ,2017,2358582,145810,126683,126754,120578,143455,386253,325972,324000,158780,145343,199008,106465,49481,1884608,473974
S. Island ,2017,479458,27382,28166,30714,27904,31213,64076,61066,67665,31658,33853,45376,21441,8944,374616,104842
Bronx ,2016,1455720,107412,105750,94881,101467,114941,231644,184048,188735,82289,73572,97198,52450,21333,1087399,368321
Brooklyn ,2016,2629150,194313,171648,151580,145070,175001,483666,365561,317714,148949,141963,190272,95936,47477,2019764,609386
Manhattan ,2016,1643734,80875,64338,60739,70460,116521,372335,239181,206975,93101,93586,137042,68674,39907,1402998,240736
Queens ,2016,2333054,145309,129432,125982,121760,149292,381573,325901,324626,154703,141926,187034,97528,47988,1856645,476409
S. Island ,2016,476015,26880,29466,29896,28454,31408,63666,60389,68126,33660,30939,43322,20831,8978,371113,104902
Bronx ,2015,1455444,109395,98434,101121,100162,120713,227716,185579,191782,82153,72018,94248,50410,21713,1086716,368728
Brooklyn ,2015,2636735,199812,165652,154729,147020,183369,481134,366974,321483,155941,134466,184484,96635,45036,2024337,612398
Manhattan ,2015,1644518,84703,63090,58306,70339,118351,374156,240170,208602,96402,90285,133380,70595,36139,1404311,240207
Queens ,2015,2339150,148204,126507,127734,123182,154077,381459,332691,328023,155620,137856,181202,99197,43398,1860747,478403
S. Island ,2015,474558,27598,28667,30042,29063,31620,62259,61476,68945,33402,30412,42139,21077,7858,369647,104911
Bronx ,2014,1438159,108697,101313,97513,100522,123077,220343,184159,190746,82560,67476,90953,50555,20245,1071425,366734
Brooklyn ,2014,2621793,199112,166817,152721,149705,189780,472605,363495,322042,152272,135708,176781,93413,47342,2010595,611198
Manhattan ,2014,1636268,85026,63727,57040,70922,120878,371623,239220,207840,94094,90936,130206,69331,35425,1395685,240583
Queens ,2014,2321580,146634,131575,119089,123614,160078,378829,332358,327362,159298,126864,174475,96025,45379,1848634,472946
S. Island ,2014,473279,27673,28585,30594,28951,33120,61201,61957,69481,33769,29685,40117,18865,9281,367940,105339
Bronx ,2013,1418733,108589,100409,96499,102970,122527,212981,182371,189211,77242,67564,88288,49043,21039,1053451,365282
Brooklyn ,2013,2592149,192570,162911,155424,152905,194593,460546,357487,322315,151096,132118,170977,94188,45019,1987080,605069
Manhattan ,2013,1626159,84353,59793,59917,69985,121901,370836,238981,205270,90861,92936,127362,68686,35278,1387820,238339
Queens ,2013,2296175,142436,127081,123634,125450,161891,373939,329594,325321,153121,125669,167817,94671,45551,1826674,469501
S. Island ,2013,472621,27808,28908,30829,30057,33711,60112,62503,70039,32947,29079,38805,18699,9124,366229,106392
Bronx ,2012,1408473,107407,95267,103274,107678,121194,207607,183595,187652,79488,61516,85815,46903,21077,1040050,368423
Brooklyn ,2012,2565635,187762,163624,154404,156574,199899,449002,350634,322473,143116,136702,164263,93598,43584,1962660,602975
Manhattan ,2012,1619090,82912,63751,58109,74770,125559,363899,237455,203249,94177,88833,124303,69648,32425,1378172,240918
Queens ,2012,2272771,138372,124849,124708,128477,164408,369719,326492,324167,147645,123816,161807,92382,45929,1806354,466417
S. Island ,2012,470728,27916,29034,30516,31197,32742,59829,63280,70697,28980,32183,36796,17710,9848,364103,106625
Bronx ,2011,1392002,106190,100298,97664,109386,117318,204677,183550,186307,76205,61297,82368,46727,20015,1023726,368276
Brooklyn ,2011,2532645,183027,159825,156394,160953,198954,438072,344343,323230,146914,129041,155970,94268,41654,1934485,598160
Manhattan ,2011,1601948,80126,59112,61149,75266,132349,353989,234802,203717,93751,88812,118008,70564,30303,1364656,237292
Queens ,2011,2247848,136797,125290,121221,131440,162012,366509,324259,324666,143919,120808,153923,93434,43570,1784280,463568
S. Island ,2011,470467,28260,29390,30791,31133,32911,60204,64378,71459,34325,26424,34497,18964,7731,362592,107875
Bronx ,2010,1386657,103004,97413,100505,114839,113848,203592,186631,185580,72121,62364,80533,45473,20754,1018735,367922
Brooklyn ,2010,2508340,177134,160479,154642,169873,196825,426999,340509,324849,142548,125572,153567,95929,39414,1915142,593198
Manhattan ,2010,1586698,76546,62127,57375,77184,142172,341446,233362,202450,94495,84647,115819,68435,30640,1352451,234247
Queens ,2010,2233841,131950,120657,126355,138710,161844,362275,325805,323000,136572,119433,151165,95163,40912,1772833,461008
S. Island ,2010,469363,28225,28440,32317,33378,30933,59990,65697,71671,30252,28918,32941,18537,8064,360459,108904
