GEO_ID,ZIPCODE,total_pop,median_income,PO_NAME,COUNTY
8600000US10001,10001,24117,92840,New York,New York
8600000US10002,10002,74479,36982,New York,New York
8600000US10003,10003,53977,118161,New York,New York
8600000US10004,10004,3335,190223,New York,New York
8600000US10005,10005,8701,189702,New York,New York
8600000US10006,10006,3092,179044,New York,New York
8600000US10007,10007,7408,224063,New York,New York
8600000US10009,10009,58293,63717,New York,New York
8600000US10010,10010,35906,132988,New York,New York
8600000US10011,10011,49949,138272,New York,New York
8600000US10012,10012,23318,106467,New York,New York
8600000US10013,10013,28799,113191,New York,New York
8600000US10014,10014,30344,133501,New York,New York
8600000US10016,10016,52886,126628,New York,New York
8600000US10017,10017,15846,131045,New York,New York
8600000US10018,10018,8806,122484,New York,New York
8600000US10019,10019,45498,103792,New York,New York
8600000US10020,10020,0,,New York,New York
8600000US10021,10021,44280,122169,New York,New York
8600000US10022,10022,31130,150718,New York,New York
8600000US10023,10023,62541,132605,New York,New York
8600000US10024,10024,58102,143623,New York,New York
8600000US10025,10025,92251,91624,New York,New York
8600000US10026,10026,38585,59691,New York,New York
8600000US10027,10027,64988,51938,New York,New York
8600000US10028,10028,46768,122969,New York,New York
8600000US10029,10029,76713,33720,New York,New York
8600000US10030,10030,31060,42348,New York,New York
8600000US10031,10031,59586,53660,New York,New York
8600000US10032,10032,63214,53525,New York,New York
8600000US10033,10033,58349,63093,New York,New York
8600000US10034,10034,42399,54406,New York,New York
8600000US10035,10035,36048,29799,New York,New York
8600000US10036,10036,28487,95301,New York,New York
8600000US10037,10037,20462,46263,New York,New York
8600000US10038,10038,23311,95702,New York,New York
8600000US10039,10039,27854,42278,New York,New York
8600000US10040,10040,44800,49677,New York,New York
8600000US10044,10044,12440,104808,New York,New York
8600000US10065,10065,29530,148441,New York,New York
8600000US10069,10069,6051,132500,New York,New York
8600000US10075,10075,22252,138640,New York,New York
8600000US10103,10103,0,,New York,New York
8600000US10110,10110,0,,New York,New York
8600000US10111,10111,0,,New York,New York
8600000US10112,10112,0,,New York,New York
8600000US10115,10115,0,,New York,New York
8600000US10119,10119,0,,New York,New York
8600000US10128,10128,58636,121829,New York,New York
8600000US10152,10152,0,,New York,New York
8600000US10153,10153,0,,New York,New York
8600000US10154,10154,0,,New York,New York
8600000US10162,10162,1486,152336,New York,New York
8600000US10165,10165,0,,New York,New York
8600000US10167,10167,0,,New York,New York
8600000US10168,10168,0,,New York,New York
8600000US10169,10169,0,,New York,New York
8600000US10170,10170,0,,New York,New York
8600000US10171,10171,0,,New York,New York
8600000US10172,10172,0,,New York,New York
8600000US10173,10173,0,,New York,New York
8600000US10174,10174,0,,New York,New York
8600000US10177,10177,0,,New York,New York
8600000US10271,10271,0,,New York,New York
8600000US10278,10278,0,,New York,New York
8600000US10279,10279,42,,New York,New York
8600000US10280,10280,9496,182760,New York,New York
8600000US10282,10282,5783,250000,New York,New York
8600000US10301,10301,38280,62052,Staten Island,Richmond
8600000US10302,10302,18037,66096,Staten Island,Richmond
8600000US10303,10303,27401,67215,Staten Island,Richmond
8600000US10304,10304,41112,54199,Staten Island,Richmond
8600000US10305,10305,42726,79742,Staten Island,Richmond
8600000US10306,10306,53877,80834,Staten Island,Richmond
8600000US10307,10307,14906,85103,Staten Island,Richmond
8600000US10308,10308,29512,103027,Staten Island,Richmond
8600000US10309,10309,34058,109457,Staten Island,Richmond
8600000US10310,10310,23800,76075,Staten Island,Richmond
8600000US10312,10312,61392,97407,Staten Island,Richmond
8600000US10314,10314,89792,91505,Staten Island,Richmond
8600000US10451,10451,48136,30349,Bronx,Bronx
8600000US10452,10452,75452,29579,Bronx,Bronx
8600000US10453,10453,81716,29136,Bronx,Bronx
8600000US10454,10454,37212,21447,Bronx,Bronx
8600000US10455,10455,41951,28585,Bronx,Bronx
8600000US10456,10456,92717,27917,Bronx,Bronx
8600000US10457,10457,74822,29767,Bronx,Bronx
8600000US10458,10458,85620,35423,Bronx,Bronx
8600000US10459,10459,48780,29284,Bronx,Bronx
8600000US10460,10460,59432,27545,Bronx,Bronx
8600000US10461,10461,49690,58305,Bronx,Bronx
8600000US10462,10462,75714,54278,Bronx,Bronx
8600000US10463,10463,71132,58408,Bronx,Bronx
8600000US10464,10464,4531,96366,Bronx,Bronx
8600000US10465,10465,43671,75617,Bronx,Bronx
8600000US10466,10466,75039,58393,Bronx,Bronx
8600000US10467,10467,101255,39372,Bronx,Bronx
8600000US10468,10468,78881,37804,Bronx,Bronx
8600000US10469,10469,72384,65399,Bronx,Bronx
8600000US10470,10470,15716,61266,Bronx,Bronx
8600000US10471,10471,22422,88722,Bronx,Bronx
8600000US10472,10472,67948,33498,Bronx,Bronx
8600000US10473,10473,59579,41508,Bronx,Bronx
8600000US10474,10474,12179,22965,Bronx,Bronx
8600000US10475,10475,42818,51951,Bronx,Bronx
8600000US11001,11001,28021,113300,Floral Park,Queens
8600000US11004,11004,15098,95436,Glen Oaks,Queens
8600000US11005,11005,1759,55313,Floral Park,Queens
8600000US11040,11040,41592,129344,New Hyde Park,Queens
8600000US11096,11096,8362,60675,Inwood,Queens
8600000US11101,11101,31366,75581,Long Island City,Queens
8600000US11102,11102,29747,71382,Astoria,Queens
8600000US11103,11103,35995,76234,Astoria,Queens
8600000US11104,11104,25114,67751,Sunnyside,Queens
8600000US11105,11105,36983,79883,Astoria,Queens
8600000US11106,11106,37690,68530,Astoria,Queens
8600000US11109,11109,5980,160625,Long Island City,Queens
8600000US11201,11201,63378,129248,Brooklyn,Kings
8600000US11203,11203,76085,54457,Brooklyn,Kings
8600000US11204,11204,76395,53093,Brooklyn,Kings
8600000US11205,11205,46843,58872,Brooklyn,Kings
8600000US11206,11206,88422,39753,Brooklyn,Kings
8600000US11207,11207,91083,39382,Brooklyn,Kings
8600000US11208,11208,101313,42403,Brooklyn,Kings
8600000US11209,11209,67782,77917,Brooklyn,Kings
8600000US11210,11210,64665,69385,Brooklyn,Kings
8600000US11211,11211,103123,81228,Brooklyn,Kings
8600000US11212,11212,75605,26521,Brooklyn,Kings
8600000US11213,11213,67056,44831,Brooklyn,Kings
8600000US11214,11214,92644,56911,Brooklyn,Kings
8600000US11215,11215,69873,132091,Brooklyn,Kings
8600000US11216,11216,57786,67795,Brooklyn,Kings
8600000US11217,11217,41813,119375,Brooklyn,Kings
8600000US11218,11218,72413,73470,Brooklyn,Kings
8600000US11219,11219,89371,40683,Brooklyn,Kings
8600000US11220,11220,93170,50191,Brooklyn,Kings
8600000US11221,11221,83322,56900,Brooklyn,Kings
8600000US11222,11222,36872,93488,Brooklyn,Kings
8600000US11223,11223,81388,54023,Brooklyn,Kings
8600000US11224,11224,45795,32549,Brooklyn,Kings
8600000US11225,11225,56859,59820,Brooklyn,Kings
8600000US11226,11226,99558,58257,Brooklyn,Kings
8600000US11228,11228,44348,72902,Brooklyn,Kings
8600000US11229,11229,83119,64631,Brooklyn,Kings
8600000US11230,11230,86139,53070,Brooklyn,Kings
8600000US11231,11231,37874,99643,Brooklyn,Kings
8600000US11232,11232,26430,61200,Brooklyn,Kings
8600000US11233,11233,79439,44905,Brooklyn,Kings
