year,total_pop,pop_under_18_yrs,pop_18-24,pop_25-44,pop_45-64,pop_65+
2010,8184899,1765279,871496,2546306,2004472,997346
2011,8244910,1775171,852085,2574783,2030875,1011996
2012,8336697,1785358,849045,2611512,2044694,1046088
2013,8405837,1784583,832568,2649350,2064789,1074547
2014,8491079,1796800,819963,2685790,2090133,1098393
2015,8550405,1804647,797243,2713614,2107390,1127511
2016,8537673,1799754,773121,2707964,2100864,1155970
2017,8622698,1789069,756848,2731563,2109589,1235629
2018,8398748,1739256,710747,2647180,2056085,1245480
2019,8336817,1715077,692638,2621869,2026039,1281194
2020,8804190,1811226,731468,2768854,2139621,1353019
2021,8804190,1811226,731468,2768854,2139621,1353019
