year,total_pop,pop_under_5_yrs,pop_5_9_yrs,pop_10_14_yrs,pop_15_19_yrs,pop_20_24_yrs,pop_25_34_yrs,pop_35_44_yrs,pop_45_54_yrs,pop_55_59_yrs,pop_60_64_yrs,pop_65_74_yrs,pop_75_84_yrs,pop_above_84_yrs,pop_above_17_yrs,pop_under_18_yrs
2010,8184899,516859,469116,471194,533984,645622,1394302,1152004,1107550,475988,420934,534025,323537,139784,6419620,1765279
2011,8244910,534400,473915,467219,508178,643544,1423451,1151332,1109379,495114,426382,544766,323957,143273,6469739,1775171
2012,8336697,544369,476525,471011,498696,643802,1450056,1161456,1108238,493406,443050,572984,320241,152863,6551339,1785358
2013,8405837,555756,479102,466303,481367,634623,1478414,1170936,1112156,505267,447366,593249,325287,156011,6621254,1784583
2014,8491079,567142,492017,456957,473714,626933,1504601,1181189,1117471,521993,450669,612532,328189,157672,6694279,1796800
2015,8550405,569712,482350,471932,469766,608130,1526724,1186890,1118835,523518,465037,635453,337914,154144,6745758,1804647
2016,8537673,554789,500634,463078,467211,587163,1532884,1175080,1106176,512702,481986,654868,335419,165683,6737919,1799754
2017,8622698,552576,475122,482943,460028,575248,1551985,1179578,1100164,518681,490744,694522,372506,168601,6833629,1789069
2018,8398748,535068,452909,483949,444911,533166,1500032,1147148,1055874,517395,482816,699936,385177,160367,6659492,1739256
2019,8336817,521255,446888,481230,440134,518208,1483549,1138320,1027300,518117,480622,719886,390997,170311,6621740,1715077
